word_count,sentence_count,avg_word_length,avg_sentence_length,type_token_ratio,bullet_count,numbered_list_count,question_count,exclamation_count,comma_rate,hedge_rate,filler_rate,empathy_rate,paragraph_count,has_bold,prompt_id,category,model_name
65,5,5.554,13.0,0.877,0,0,0,0,0.138,0.0,0.0,0.0,1,0,1,factual,claude
58,5,5.172,11.6,0.879,0,0,0,0,0.086,0.0,0.0,0.0,1,0,1,factual,gemini
33,3,5.03,11.0,0.939,0,0,0,0,0.182,0.0,0.0,0.0,1,0,1,factual,gpt4o
138,8,5.232,17.25,0.761,0,0,0,0,0.065,0.0,0.0,0.0,1,0,2,factual,claude
60,4,5.0,15.0,0.833,0,0,0,0,0.067,0.0,0.0,0.0,1,0,2,factual,gemini
35,3,5.057,11.667,0.886,0,0,0,0,0.086,0.0,0.0,0.0,1,0,2,factual,gpt4o
53,2,5.453,26.5,0.887,0,0,0,0,0.094,0.0,0.0,0.0,1,0,3,factual,claude
52,4,5.173,13.0,0.808,0,0,0,0,0.038,0.0,0.0,0.019,1,0,3,factual,gemini
29,2,5.966,14.5,0.897,0,0,0,0,0.069,0.0,0.0,0.0,1,0,3,factual,gpt4o
205,15,6.024,13.667,0.693,0,0,0,0,0.034,0.005,0.0,0.0,3,0,4,factual,claude
55,4,5.636,13.75,0.909,0,0,0,0,0.091,0.036,0.0,0.0,1,0,4,factual,gemini
29,2,6.138,14.5,0.897,0,0,0,0,0.069,0.0,0.0,0.0,1,0,4,factual,gpt4o
25,2,5.64,12.5,1.0,0,0,0,0,0.12,0.04,0.0,0.0,1,0,5,factual,claude
58,3,6.138,19.333,0.879,0,0,0,0,0.069,0.0,0.0,0.0,1,0,5,factual,gemini
47,3,6.532,15.667,0.915,0,0,0,0,0.064,0.0,0.0,0.0,1,0,5,factual,gpt4o
60,4,5.783,15.0,0.883,0,0,0,0,0.083,0.017,0.0,0.0,1,0,6,factual,claude
57,3,5.526,19.0,0.807,0,0,0,0,0.035,0.018,0.0,0.0,1,0,6,factual,gemini
50,3,5.56,16.667,0.84,0,0,0,0,0.04,0.02,0.0,0.0,1,0,6,factual,gpt4o
48,4,6.75,12.0,0.938,0,0,0,0,0.104,0.0,0.0,0.0,1,0,7,factual,claude
51,3,6.549,17.0,0.863,0,0,0,0,0.118,0.0,0.0,0.0,1,0,7,factual,gemini
47,3,6.532,15.667,0.872,0,0,0,0,0.085,0.0,0.0,0.0,1,0,7,factual,gpt4o
49,4,6.429,12.25,0.898,0,0,0,0,0.102,0.0,0.0,0.0,1,0,8,factual,claude
45,3,6.444,15.0,0.911,0,0,0,0,0.089,0.0,0.0,0.0,1,0,8,factual,gemini
43,3,6.86,14.333,0.86,0,0,0,0,0.047,0.0,0.0,0.0,1,0,8,factual,gpt4o
60,4,6.05,15.0,0.85,0,0,0,0,0.067,0.0,0.0,0.0,1,0,9,factual,claude
52,2,6.25,26.0,0.904,0,0,0,0,0.135,0.0,0.0,0.0,1,0,9,factual,gemini
46,3,6.0,15.333,0.913,0,0,0,0,0.109,0.0,0.0,0.0,1,0,9,factual,gpt4o
43,4,7.907,10.75,0.93,0,0,0,0,0.093,0.023,0.0,0.0,1,0,10,factual,claude
43,4,7.372,10.75,0.884,0,0,0,0,0.116,0.0,0.0,0.023,1,0,10,factual,gemini
36,3,8.028,12.0,0.889,0,0,0,0,0.139,0.0,0.0,0.0,1,0,10,factual,gpt4o
52,4,6.365,13.0,0.865,0,0,0,0,0.038,0.0,0.0,0.0,1,0,11,factual,claude
48,3,6.354,16.0,0.875,0,0,0,0,0.083,0.0,0.0,0.0,1,0,11,factual,gemini
42,3,6.31,14.0,0.881,0,0,0,0,0.119,0.0,0.0,0.024,1,0,11,factual,gpt4o
50,4,6.78,12.5,0.9,0,0,0,0,0.06,0.0,0.0,0.0,1,0,12,factual,claude
49,3,6.571,16.333,0.898,0,0,0,0,0.082,0.0,0.0,0.0,1,0,12,factual,gemini
43,3,6.721,14.333,0.93,0,0,0,0,0.07,0.0,0.0,0.0,1,0,12,factual,gpt4o
57,4,6.351,14.25,0.895,0,0,0,0,0.035,0.0,0.0,0.0,1,0,13,factual,claude
50,3,6.24,16.667,0.88,0,0,0,0,0.06,0.0,0.0,0.0,1,0,13,factual,gemini
44,3,6.636,14.667,0.886,0,0,0,0,0.0,0.0,0.0,0.0,1,0,13,factual,gpt4o
53,4,6.811,13.25,0.962,0,0,0,0,0.057,0.0,0.0,0.019,1,0,14,factual,claude
44,3,7.182,14.667,0.886,0,0,0,0,0.114,0.0,0.0,0.0,1,0,14,factual,gemini
45,3,6.333,15.0,0.867,0,0,0,0,0.067,0.0,0.0,0.0,1,0,14,factual,gpt4o
50,4,6.98,12.5,0.92,0,0,0,0,0.08,0.0,0.0,0.0,1,0,15,factual,claude
47,2,7.404,23.5,0.894,0,0,0,0,0.149,0.0,0.0,0.0,1,0,15,factual,gemini
44,3,6.75,14.667,0.886,0,0,0,0,0.182,0.0,0.0,0.0,1,0,15,factual,gpt4o
48,4,6.917,12.0,0.875,0,0,0,0,0.042,0.0,0.021,0.021,1,0,16,factual,claude
53,3,6.0,17.667,0.83,0,0,0,0,0.057,0.0,0.0,0.019,1,0,16,factual,gemini
48,3,6.021,16.0,0.833,0,0,0,0,0.042,0.0,0.0,0.0,1,0,16,factual,gpt4o
51,4,7.431,12.75,0.98,0,0,0,0,0.059,0.0,0.0,0.039,1,0,17,factual,claude
51,3,6.098,17.0,0.843,0,0,0,0,0.039,0.0,0.0,0.039,1,0,17,factual,gemini
43,3,6.791,14.333,0.953,0,0,0,0,0.093,0.047,0.0,0.023,1,0,17,factual,gpt4o
52,4,7.038,13.0,0.885,0,0,0,0,0.058,0.0,0.0,0.0,1,0,18,factual,claude
48,3,6.812,16.0,0.854,0,0,0,0,0.125,0.021,0.0,0.0,1,0,18,factual,gemini
44,3,6.591,14.667,0.841,0,0,0,0,0.068,0.0,0.0,0.0,1,0,18,factual,gpt4o
53,4,6.396,13.25,0.849,0,0,0,0,0.057,0.0,0.0,0.0,1,0,19,factual,claude
48,3,6.625,16.0,0.875,0,0,0,0,0.125,0.0,0.0,0.0,1,0,19,factual,gemini
44,3,6.818,14.667,0.909,0,0,0,0,0.182,0.0,0.0,0.0,1,0,19,factual,gpt4o
51,4,7.294,12.75,0.882,0,0,0,0,0.059,0.0,0.0,0.0,1,0,20,factual,claude
49,3,6.735,16.333,0.857,0,0,0,0,0.163,0.0,0.0,0.0,1,0,20,factual,gemini
41,3,7.634,13.667,0.878,0,0,0,0,0.122,0.0,0.0,0.0,1,0,20,factual,gpt4o
56,4,6.464,14.0,0.839,0,0,0,0,0.036,0.0,0.0,0.0,1,0,21,factual,claude
51,2,6.098,25.5,0.804,0,0,0,0,0.098,0.0,0.0,0.0,1,0,21,factual,gemini
52,2,5.154,26.0,0.75,0,0,0,0,0.096,0.0,0.0,0.0,1,0,21,factual,gpt4o
49,4,7.551,12.25,0.918,0,0,0,0,0.184,0.0,0.0,0.02,1,0,22,factual,claude
47,3,7.426,15.667,0.915,0,0,0,0,0.149,0.0,0.0,0.0,1,0,22,factual,gemini
43,3,7.581,14.333,0.93,0,0,0,0,0.116,0.0,0.0,0.047,1,0,22,factual,gpt4o
53,4,7.491,13.25,0.887,0,0,0,0,0.113,0.0,0.0,0.019,1,0,23,factual,claude
46,3,7.109,15.333,0.891,0,0,0,0,0.087,0.0,0.0,0.022,1,0,23,factual,gemini
45,3,6.867,15.0,0.933,0,0,0,0,0.178,0.0,0.0,0.022,1,0,23,factual,gpt4o
